Transaction_ID,Date,Scope,Category,Description,Amount,Income_vs_Expense,Profit_vs_Loss,Balance_Sheet_Category,Debit_vs_Credit,Payment_Method
TXN-11033,2025-01-14,Household,Dining Out,Restaurant bill / food delivery,83.82,Expense,Loss,Asset,Debit,Cash
TXN-10185,2025-01-15,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,6437.37,Income,Profit,Asset,Credit,Cash
TXN-10357,2025-01-15,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",136.94,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10514,2025-01-15,Household,Groceries,Supermarket purchase (food/supplies),57.06,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10164,2025-01-16,Household,Groceries,Supermarket purchase (food/supplies),239.42,Expense,Loss,Asset,Debit,Credit Card
TXN-10022,2025-01-17,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,285.67,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10556,2025-01-17,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,208.95,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10671,2025-01-18,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,6873.48,Equity Withdrawal,Neutral,Equity,Debit,Checking Account
TXN-10270,2025-01-19,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2352.38,Transfer,Neutral,Liability,Debit,Credit Card
TXN-11120,2025-01-19,Business,Office Rent & Lease,Commercial property rental fee,4007.09,Expense,Loss,Liability,Debit,Checking Account
TXN-10308,2025-01-20,Household,Groceries,Supermarket purchase (food/supplies),103.92,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10998,2025-01-20,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",11707.44,Expense,Loss,Liability,Debit,Cash
TXN-10544,2025-01-20,Household,Groceries,Supermarket purchase (food/supplies),68.78,Expense,Loss,Asset,Debit,Cash
TXN-10585,2025-01-20,Business,Product Sales Revenue,Direct cash/card sales to customers,190.31,Income,Profit,Asset,Credit,Wire Transfer
TXN-11058,2025-01-20,Household,Salary / Wages,Monthly salary direct deposit,4368.24,Income,Profit,Asset,Credit,Digital Wallet
TXN-11185,2025-01-21,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,245.24,Expense,Loss,Asset,Debit,Cash
TXN-11173,2025-01-21,Household,Dining Out,Restaurant bill / food delivery,31.14,Expense,Loss,Asset,Debit,Cash
TXN-10228,2025-01-21,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",6759.13,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10690,2025-01-22,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,2608.37,Equity Withdrawal,Neutral,Equity,Debit,Digital Wallet
TXN-10907,2025-01-22,Household,Utilities,"Electricity, water, and gas bills",287.3,Expense,Loss,Liability,Debit,Checking Account
TXN-10425,2025-01-23,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",345.77,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10460,2025-01-23,Household,Dining Out,Restaurant bill / food delivery,51.99,Expense,Loss,Asset,Debit,Cash
TXN-10115,2025-01-23,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",435.46,Expense,Loss,Asset,Debit,Checking Account
TXN-10130,2025-01-24,Household,Salary / Wages,Monthly salary direct deposit,3356.95,Income,Profit,Asset,Credit,ACH Transfer
TXN-11129,2025-01-24,Household,Utilities,"Electricity, water, and gas bills",277.31,Expense,Loss,Liability,Debit,ACH Transfer
TXN-10866,2025-01-24,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,175.68,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10014,2025-01-24,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,2190.27,Expense,Loss,Liability,Debit,Cash
TXN-11072,2025-01-25,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",4779.29,Asset Acquisition,Neutral,Asset,Debit,Checking Account
TXN-10641,2025-01-25,Business,Owner's Equity Injection,Capital contributed by business owner/investor,48753.06,Equity Injection,Neutral,Equity,Credit,Digital Wallet
TXN-11017,2025-01-26,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",6583.96,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10526,2025-01-26,Household,Utilities,"Electricity, water, and gas bills",143.85,Expense,Loss,Liability,Debit,ACH Transfer
TXN-11115,2025-01-26,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",321.42,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10575,2025-01-26,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,241.05,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10999,2025-01-26,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,266.1,Expense,Loss,Asset,Debit,Cash
TXN-10071,2025-01-26,Household,Groceries,Supermarket purchase (food/supplies),162.68,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10408,2025-01-27,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",6087.82,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10650,2025-01-27,Household,Credit Card Payment,Credit card balance payoff from checking account,549.0,Transfer,Neutral,Liability,Debit,Digital Wallet
TXN-11174,2025-01-27,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",5983.53,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10243,2025-01-27,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",185.94,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10699,2025-01-28,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,668.89,Expense,Loss,Asset,Debit,Credit Card
TXN-11112,2025-01-28,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",878.02,Asset Acquisition,Neutral,Asset,Debit,Credit Card
TXN-10203,2025-01-28,Household,Groceries,Supermarket purchase (food/supplies),156.21,Expense,Loss,Asset,Debit,Digital Wallet
TXN-11155,2025-01-28,Household,Dining Out,Restaurant bill / food delivery,85.38,Expense,Loss,Asset,Debit,Credit Card
TXN-10396,2025-01-29,Business,Loan Interest Expense,Interest charge on business debt/credit lines,296.36,Expense,Loss,Liability,Debit,Checking Account
TXN-11006,2025-01-29,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,2673.29,Expense,Loss,Asset,Debit,Credit Card
TXN-10613,2025-01-29,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",378.6,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10041,2025-01-30,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,99.49,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10851,2025-01-30,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,100.68,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10065,2025-01-31,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",6622.02,Expense,Loss,Liability,Debit,Checking Account
TXN-10058,2025-02-01,Household,Utilities,"Electricity, water, and gas bills",168.58,Expense,Loss,Liability,Debit,Cash
TXN-10914,2025-02-01,Business,Owner's Equity Injection,Capital contributed by business owner/investor,8947.47,Equity Injection,Neutral,Equity,Credit,ACH Transfer
TXN-10976,2025-02-01,Business,Loan Interest Expense,Interest charge on business debt/credit lines,155.79,Expense,Loss,Liability,Debit,Digital Wallet
TXN-10317,2025-02-01,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,2111.07,Expense,Loss,Asset,Debit,Credit Card
TXN-10403,2025-02-01,Household,Dining Out,Restaurant bill / food delivery,62.3,Expense,Loss,Asset,Debit,Cash
TXN-10329,2025-02-02,Household,Utilities,"Electricity, water, and gas bills",184.77,Expense,Loss,Liability,Debit,Cash
TXN-10448,2025-02-02,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",114.47,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10805,2025-02-02,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,4019.25,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10023,2025-02-03,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",154.21,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10905,2025-02-03,Household,Salary / Wages,Monthly salary direct deposit,3192.13,Income,Profit,Asset,Credit,Digital Wallet
TXN-10409,2025-02-03,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,4626.6,Income,Profit,Asset,Credit,Wire Transfer
TXN-10345,2025-02-04,Business,Owner's Equity Injection,Capital contributed by business owner/investor,9105.12,Equity Injection,Neutral,Equity,Credit,Checking Account
TXN-11178,2025-02-04,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,6503.81,Equity Withdrawal,Neutral,Equity,Debit,Credit Card
TXN-10673,2025-02-04,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,253.37,Expense,Loss,Asset,Debit,Checking Account
TXN-10253,2025-02-05,Household,Dining Out,Restaurant bill / food delivery,44.01,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10873,2025-02-05,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",22293.81,Expense,Loss,Liability,Debit,Cash
TXN-10176,2025-02-05,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,2628.61,Expense,Loss,Asset,Debit,Cash
TXN-10826,2025-02-05,Household,Dining Out,Restaurant bill / food delivery,70.7,Expense,Loss,Asset,Debit,Checking Account
TXN-10052,2025-02-06,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,6655.72,Income,Profit,Asset,Credit,Cash
TXN-10839,2025-02-06,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",4339.52,Asset Acquisition,Neutral,Asset,Debit,Checking Account
TXN-10501,2025-02-07,Business,Loan Interest Expense,Interest charge on business debt/credit lines,137.73,Expense,Loss,Liability,Debit,Cash
TXN-10081,2025-02-07,Household,Utilities,"Electricity, water, and gas bills",198.28,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10842,2025-02-07,Business,Owner's Equity Injection,Capital contributed by business owner/investor,5751.02,Equity Injection,Neutral,Equity,Credit,Checking Account
TXN-10131,2025-02-07,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",3851.29,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10959,2025-02-08,Household,Investment Returns,Stock dividend or savings interest payout,278.05,Income,Profit,Asset,Credit,Checking Account
TXN-10266,2025-02-08,Household,Dining Out,Restaurant bill / food delivery,64.3,Expense,Loss,Asset,Debit,Cash
TXN-10608,2025-02-09,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,4602.77,Expense,Loss,Asset,Debit,Checking Account
TXN-10695,2025-02-09,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",9584.09,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10683,2025-02-10,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",11207.13,Expense,Loss,Liability,Debit,ACH Transfer
TXN-10472,2025-02-10,Business,Office Rent & Lease,Commercial property rental fee,3437.73,Expense,Loss,Liability,Debit,Credit Card
TXN-10981,2025-02-10,Business,Product Sales Revenue,Direct cash/card sales to customers,1867.4,Income,Profit,Asset,Credit,Digital Wallet
TXN-10607,2025-02-11,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",4320.89,Asset Acquisition,Neutral,Asset,Debit,Wire Transfer
TXN-10335,2025-02-11,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,1579.8,Expense,Loss,Liability,Debit,Credit Card
TXN-10970,2025-02-11,Business,Product Sales Revenue,Direct cash/card sales to customers,2210.03,Income,Profit,Asset,Credit,Checking Account
TXN-10439,2025-02-11,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",11248.08,Expense,Loss,Liability,Debit,Checking Account
TXN-10688,2025-02-12,Household,Investment Returns,Stock dividend or savings interest payout,254.93,Income,Profit,Asset,Credit,ACH Transfer
TXN-10705,2025-02-13,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",19987.68,Expense,Loss,Liability,Debit,Cash
TXN-10042,2025-02-13,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,2317.43,Expense,Loss,Liability,Debit,Checking Account
TXN-10885,2025-02-13,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",476.77,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10715,2025-02-13,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",18946.56,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10977,2025-02-13,Household,Utilities,"Electricity, water, and gas bills",226.99,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10210,2025-02-13,Business,Product Sales Revenue,Direct cash/card sales to customers,4473.54,Income,Profit,Asset,Credit,Checking Account
TXN-11196,2025-02-14,Household,Groceries,Supermarket purchase (food/supplies),55.38,Expense,Loss,Asset,Debit,Credit Card
TXN-10988,2025-02-14,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,1698.58,Expense,Loss,Liability,Debit,ACH Transfer
TXN-10003,2025-02-14,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2271.48,Transfer,Neutral,Liability,Debit,Checking Account
TXN-10931,2025-02-16,Household,Groceries,Supermarket purchase (food/supplies),51.8,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10436,2025-02-16,Business,Office Rent & Lease,Commercial property rental fee,5758.86,Expense,Loss,Liability,Debit,Credit Card
TXN-10972,2025-02-16,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",397.65,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10416,2025-02-17,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,5522.17,Equity Withdrawal,Neutral,Equity,Debit,ACH Transfer
TXN-10686,2025-02-17,Household,Groceries,Supermarket purchase (food/supplies),125.11,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10004,2025-02-17,Household,Salary / Wages,Monthly salary direct deposit,3265.23,Income,Profit,Asset,Credit,Wire Transfer
TXN-10511,2025-02-17,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2007.72,Transfer,Neutral,Liability,Debit,Credit Card
TXN-10343,2025-02-18,Business,Office Rent & Lease,Commercial property rental fee,2906.47,Expense,Loss,Liability,Debit,Cash
TXN-11109,2025-02-18,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",3700.08,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10309,2025-02-19,Household,Utilities,"Electricity, water, and gas bills",131.66,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10751,2025-02-19,Business,Owner's Equity Injection,Capital contributed by business owner/investor,24717.47,Equity Injection,Neutral,Equity,Credit,Digital Wallet
TXN-11190,2025-02-19,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,1301.31,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10969,2025-02-19,Household,Credit Card Payment,Credit card balance payoff from checking account,233.46,Transfer,Neutral,Liability,Debit,Credit Card
TXN-10660,2025-02-20,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",647.97,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10440,2025-02-20,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,10230.94,Income,Profit,Asset,Credit,Digital Wallet
TXN-11088,2025-02-21,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,2628.6,Expense,Loss,Liability,Debit,Digital Wallet
TXN-10264,2025-02-21,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",434.51,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10830,2025-02-21,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,1252.02,Expense,Loss,Liability,Debit,Checking Account
TXN-10993,2025-02-21,Business,Loan Interest Expense,Interest charge on business debt/credit lines,697.45,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10923,2025-02-21,Household,Investment Returns,Stock dividend or savings interest payout,131.45,Income,Profit,Asset,Credit,Credit Card
TXN-10433,2025-02-22,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2634.2,Transfer,Neutral,Liability,Debit,Wire Transfer
TXN-10173,2025-02-22,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,250.07,Expense,Loss,Asset,Debit,Cash
TXN-10824,2025-02-22,Household,Utilities,"Electricity, water, and gas bills",148.94,Expense,Loss,Liability,Debit,Cash
TXN-10009,2025-02-22,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,2020.2,Income,Profit,Asset,Credit,Checking Account
TXN-11100,2025-02-23,Household,Investment Returns,Stock dividend or savings interest payout,213.85,Income,Profit,Asset,Credit,Wire Transfer
TXN-10382,2025-02-24,Business,Office Rent & Lease,Commercial property rental fee,2594.92,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10134,2025-02-24,Household,Salary / Wages,Monthly salary direct deposit,5224.47,Income,Profit,Asset,Credit,Credit Card
TXN-10586,2025-02-24,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",7020.65,Asset Acquisition,Neutral,Asset,Debit,Cash
TXN-10036,2025-02-24,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,7093.63,Equity Withdrawal,Neutral,Equity,Debit,Cash
TXN-10524,2025-02-24,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,1457.35,Transfer,Neutral,Liability,Debit,ACH Transfer
TXN-11133,2025-02-25,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,9328.64,Income,Profit,Asset,Credit,Checking Account
TXN-10112,2025-02-25,Household,Groceries,Supermarket purchase (food/supplies),165.28,Expense,Loss,Asset,Debit,Cash
TXN-10936,2025-02-26,Household,Dining Out,Restaurant bill / food delivery,103.88,Expense,Loss,Asset,Debit,Cash
TXN-11086,2025-02-26,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,2503.42,Expense,Loss,Liability,Debit,Digital Wallet
TXN-10629,2025-02-27,Household,Credit Card Payment,Credit card balance payoff from checking account,241.88,Transfer,Neutral,Liability,Debit,Digital Wallet
TXN-10248,2025-02-28,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,172.28,Expense,Loss,Asset,Debit,Checking Account
TXN-10298,2025-02-28,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,6151.65,Income,Profit,Asset,Credit,Checking Account
TXN-11126,2025-02-28,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",104.12,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10222,2025-02-28,Business,Office Rent & Lease,Commercial property rental fee,3950.53,Expense,Loss,Liability,Debit,Digital Wallet
TXN-11183,2025-02-28,Household,Salary / Wages,Monthly salary direct deposit,4841.28,Income,Profit,Asset,Credit,ACH Transfer
TXN-10730,2025-02-28,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,4673.92,Expense,Loss,Asset,Debit,Credit Card
TXN-10783,2025-02-28,Business,Loan Interest Expense,Interest charge on business debt/credit lines,237.52,Expense,Loss,Liability,Debit,Wire Transfer
TXN-11186,2025-02-28,Business,Payroll & Wages,"Employee salaries, benefits, and payroll taxes",11489.27,Expense,Loss,Liability,Debit,Wire Transfer
TXN-10087,2025-03-01,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",537.69,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10858,2025-03-02,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",470.86,Expense,Loss,Asset,Debit,Checking Account
TXN-10540,2025-03-02,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",1662.04,Asset Acquisition,Neutral,Asset,Debit,Checking Account
TXN-10488,2025-03-02,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,1285.33,Transfer,Neutral,Liability,Debit,Cash
TXN-10788,2025-03-02,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",627.01,Expense,Loss,Asset,Debit,Credit Card
TXN-10174,2025-03-03,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",6134.72,Asset Acquisition,Neutral,Asset,Debit,Wire Transfer
TXN-10895,2025-03-03,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",86.09,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10871,2025-03-03,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,2609.8,Expense,Loss,Asset,Debit,Checking Account
TXN-10854,2025-03-03,Household,Investment Returns,Stock dividend or savings interest payout,16.21,Income,Profit,Asset,Credit,Credit Card
TXN-11170,2025-03-03,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,3640.39,Equity Withdrawal,Neutral,Equity,Debit,ACH Transfer
