description,amount,is_recurring,source,month,account_type,debit_credit
capital introduced by shareholder reference 20192,223881.41,0,Manual,12,equity,credit
short term borrowing reference 14884,197581.5,0,Excel,6,liability,credit
courier and postage expense reference 59847,211855.3,0,Excel,2,expense,debit
inventory purchase for stock reference 20734,320935.17,0,PDF,9,asset,debit
service revenue received reference 11271,48069.19,0,PDF,5,revenue,credit
insurance expense reference 52373,319414.53,0,PDF,3,expense,debit
employee salary payment reference 39371,10429.6,1,Excel,1,expense,debit
office supplies purchase reference 68065,368997.98,0,Bank,4,expense,debit
retained earnings transfer reference 42208,339056.02,1,Manual,12,equity,credit
service revenue received reference 95460,231791.88,0,PDF,1,revenue,credit
gst payable recorded reference 62367,476301.12,1,PDF,8,liability,credit
share capital contribution reference 98898,393540.61,1,PDF,5,equity,credit
internet and telecom bill reference 97746,385630.98,0,Manual,10,expense,debit
shareholder contribution reference 19128,478685.32,0,Manual,2,equity,credit
client payment for consulting services reference 55149,252126.29,0,Manual,7,revenue,credit
security deposit paid reference 96168,99543.59,1,Excel,2,asset,credit
insurance expense reference 86888,344787.27,0,Manual,4,expense,debit
office furniture purchase reference 97097,316614.83,1,PDF,6,asset,debit
marketing campaign expense reference 31022,161549.96,0,Bank,12,expense,credit
marketing campaign expense reference 56031,99194.12,1,PDF,1,expense,debit
business travel expense reference 89657,237185.4,1,Manual,3,expense,debit
share capital contribution reference 45299,316121.71,1,Bank,10,equity,credit
tax payable recorded reference 65710,20615.04,1,Excel,3,liability,credit
accounts payable recorded reference 92298,477265.59,1,PDF,4,liability,credit
accounts payable recorded reference 47698,341770.7,0,Manual,11,liability,credit
retained earnings transfer reference 77379,349805.65,0,CSV,8,equity,credit
customer invoice settlement reference 96182,151680.33,0,Bank,5,revenue,credit
software subscription expense reference 96278,1914.25,0,Manual,2,expense,debit
marketing campaign expense reference 71367,59895.51,0,Bank,4,expense,credit
capital introduced by shareholder reference 79187,32927.58,0,CSV,5,equity,credit
salary payable recorded reference 67775,216088.25,0,Excel,3,liability,credit
salary payable recorded reference 39988,231325.58,0,Bank,8,liability,credit
loan repayment liability reference 21368,53033.24,0,PDF,7,liability,credit
consulting income received reference 79165,314062.17,0,Excel,1,revenue,credit
equipment acquisition reference 78197,308059.55,0,Manual,4,asset,debit
equipment acquisition reference 38881,486582.19,0,CSV,10,asset,debit
owner capital introduced reference 68727,85110.14,0,Bank,2,equity,debit
accounts payable recorded reference 29027,445749.35,0,Manual,12,liability,credit
employee salary payment reference 68410,345455.56,0,Manual,8,expense,debit
customer invoice settlement reference 30413,280326.43,0,Manual,7,revenue,credit
vendor credit purchase reference 66391,421841.67,0,CSV,11,liability,credit
capital introduced by shareholder reference 14673,493875.9,0,CSV,8,equity,credit
courier and postage expense reference 45084,390827.93,1,Manual,7,expense,debit
prepaid insurance reference 94767,102970.85,1,CSV,7,asset,credit
supplier payable created reference 87181,467496.31,0,Bank,11,liability,credit
purchase of office laptop reference 30175,232095.73,0,CSV,9,asset,debit
customer invoice settlement reference 30415,220505.95,0,Manual,8,revenue,credit
owner withdrawal against equity reference 67706,103277.93,1,Bank,8,equity,credit
accounts receivable created reference 14775,100881.19,0,Manual,1,asset,debit
tax payable recorded reference 67696,422020.13,1,Manual,6,liability,credit
client payment for consulting services reference 59047,135735.15,0,Manual,12,revenue,credit
office electricity bill reference 18517,274166.43,0,CSV,4,expense,debit
inventory purchase for stock reference 18164,92229.44,0,Bank,4,asset,debit
loan repayment liability reference 85469,98210.73,0,Manual,9,liability,credit
prepaid insurance reference 46968,362611.34,0,CSV,11,asset,debit
loan repayment liability reference 85011,197664.03,0,Bank,12,liability,credit
equipment acquisition reference 25315,134672.0,0,Manual,11,asset,debit
office supplies purchase reference 27803,258125.64,0,PDF,9,expense,debit
inventory purchase for stock reference 28365,53853.79,1,Excel,4,asset,debit
maintenance and repair expense reference 11784,472872.44,0,PDF,3,expense,debit
purchase of office laptop reference 92403,292022.96,0,Manual,9,asset,debit
capital introduced by shareholder reference 56532,337053.51,0,PDF,12,equity,credit
service revenue received reference 15034,182510.01,0,Bank,5,revenue,credit
salary payable recorded reference 44335,48985.69,0,Bank,3,liability,credit
office supplies purchase reference 23407,203143.61,0,PDF,1,expense,debit
subscription revenue reference 58897,249890.49,0,PDF,12,revenue,credit
prepaid insurance reference 81949,470137.68,0,Bank,2,asset,debit
shareholder contribution reference 92001,460480.48,0,CSV,6,equity,credit
shareholder contribution reference 14833,373279.74,0,PDF,6,equity,credit
service revenue received reference 46790,109205.45,0,PDF,4,revenue,credit
business loan received reference 74418,443252.19,1,Manual,11,liability,credit
sales collection reference 92262,146930.53,1,Bank,6,revenue,credit
owner investment into business reference 36175,72407.26,0,Excel,6,equity,credit
product sales receipt reference 35021,351665.22,0,PDF,12,revenue,credit
loan repayment liability reference 55121,246673.63,0,Bank,9,liability,credit
vendor credit purchase reference 28714,298242.94,0,Bank,1,liability,credit
subscription revenue reference 43382,414979.98,0,Manual,4,revenue,debit
gst payable recorded reference 48810,56119.64,0,Excel,4,liability,credit
short term borrowing reference 39513,139392.84,0,Bank,3,liability,credit
office furniture purchase reference 51135,292633.44,1,Excel,11,asset,debit
customer invoice settlement reference 40571,21648.56,0,PDF,7,revenue,credit
subscription revenue reference 97929,7866.35,0,CSV,10,revenue,credit
inventory purchase for stock reference 72308,473626.06,0,CSV,1,asset,debit
accounts payable recorded reference 99945,360128.4,0,Manual,5,liability,credit
vendor credit purchase reference 94089,357192.47,0,Manual,6,liability,credit
business travel expense reference 41344,299524.9,0,CSV,4,expense,debit
shareholder contribution reference 26235,461363.2,0,Manual,8,equity,credit
equipment acquisition reference 89873,223882.24,1,PDF,3,asset,debit
tax payable recorded reference 16420,194237.07,0,Bank,5,liability,credit
purchase of office laptop reference 47462,153304.73,0,Bank,5,asset,debit
consulting income received reference 70500,140976.28,0,PDF,9,revenue,credit
purchase of machinery reference 74197,374029.12,0,Bank,8,asset,debit
purchase of machinery reference 45318,268911.31,0,Excel,3,asset,debit
customer invoice settlement reference 34027,166118.71,0,Manual,6,revenue,credit
security deposit paid reference 63927,462288.68,0,Manual,4,asset,debit
business loan received reference 93374,184330.79,1,Excel,1,liability,credit
customer invoice settlement reference 89047,161356.02,0,CSV,4,revenue,credit
software subscription expense reference 93814,302284.64,0,Bank,4,expense,debit
customer invoice settlement reference 71889,352850.48,0,Manual,8,revenue,credit
retained earnings transfer reference 78115,289255.14,0,Manual,8,equity,credit
owner capital introduced reference 24434,305206.14,0,Excel,11,equity,credit
owner withdrawal against equity reference 85065,262895.34,1,Manual,3,equity,credit
insurance expense reference 26969,359907.5,0,Manual,12,expense,debit
client payment for consulting services reference 10831,185539.57,0,Excel,1,revenue,credit
owner capital introduced reference 92721,492285.34,0,Excel,12,equity,credit
gst payable recorded reference 71875,396021.89,0,PDF,5,liability,debit
vendor credit purchase reference 97864,347990.59,1,PDF,3,liability,credit
product sales receipt reference 64929,311961.41,1,CSV,9,revenue,credit
product sales receipt reference 36219,264930.98,0,PDF,10,revenue,credit
software subscription expense reference 93761,55214.16,1,Bank,4,expense,debit
owner withdrawal against equity reference 54839,57673.1,0,Bank,5,equity,credit
inventory purchase for stock reference 14711,214822.63,0,Manual,12,asset,debit
purchase of office laptop reference 86632,10917.97,1,Excel,8,asset,debit
shareholder contribution reference 94118,120189.28,1,CSV,8,equity,credit
maintenance and repair expense reference 63409,478476.07,0,Bank,12,expense,debit
security deposit paid reference 67564,487109.38,0,PDF,12,asset,debit
insurance expense reference 50530,401712.27,0,Manual,4,expense,credit
purchase of computer equipment reference 66441,387120.47,0,Bank,4,asset,debit
gst payable recorded reference 69879,134404.2,0,CSV,3,liability,credit
sales revenue from customer invoice reference 70841,166071.42,0,Excel,3,revenue,debit
supplier payable created reference 77991,26585.94,0,Bank,1,liability,credit
internet and telecom bill reference 10011,129125.6,0,Manual,10,expense,debit
client payment for consulting services reference 83096,430436.31,0,Excel,11,revenue,credit
owner withdrawal against equity reference 70569,435452.14,0,Bank,3,equity,credit
maintenance and repair expense reference 74523,344189.87,1,Manual,8,expense,debit
security deposit paid reference 54382,304411.88,0,Excel,6,asset,debit
insurance expense reference 81250,488646.43,0,PDF,11,expense,debit
share capital contribution reference 11095,238695.67,1,PDF,7,equity,credit
office furniture purchase reference 15358,435200.82,0,PDF,10,asset,debit
customer invoice settlement reference 17997,346702.34,0,Bank,5,revenue,credit
software subscription expense reference 74634,282966.84,0,Excel,12,expense,debit
sales revenue from customer invoice reference 28151,365819.97,0,CSV,2,revenue,credit
marketing campaign expense reference 15128,391546.99,1,CSV,6,expense,debit
prepaid insurance reference 78938,317405.51,0,CSV,11,asset,debit
shareholder contribution reference 94650,331890.88,0,Excel,12,equity,credit
sales revenue from customer invoice reference 44072,47772.56,1,Excel,9,revenue,credit
office electricity bill reference 90210,197774.7,0,PDF,1,expense,debit
capital introduced by shareholder reference 44566,397047.94,0,Manual,3,equity,credit
service revenue received reference 96126,293967.13,0,Excel,6,revenue,credit
loan repayment liability reference 59279,377185.44,0,Manual,1,liability,credit
customer invoice settlement reference 79088,446618.59,0,Manual,2,revenue,credit
retained earnings transfer reference 13917,276519.21,0,PDF,8,equity,credit
subscription revenue reference 78683,465036.67,0,PDF,8,revenue,credit
office electricity bill reference 84628,127370.7,0,CSV,11,expense,credit
tax payable recorded reference 99779,402782.68,0,Excel,2,liability,credit
tax payable recorded reference 86048,96603.8,0,PDF,11,liability,credit
share capital contribution reference 82041,422160.6,0,Manual,11,equity,credit
purchase of computer equipment reference 17794,277691.91,0,PDF,11,asset,debit
owner withdrawal against equity reference 63320,288457.26,1,CSV,11,equity,credit
salary payable recorded reference 82775,487678.77,0,Excel,3,liability,credit
short term borrowing reference 14317,254833.7,0,Manual,10,liability,credit
tax payable recorded reference 90461,192694.67,0,CSV,3,liability,credit
courier and postage expense reference 25168,256365.76,0,CSV,5,expense,debit
tax payable recorded reference 31436,99007.66,0,Bank,10,liability,credit
gst payable recorded reference 68015,346810.14,1,Excel,3,liability,credit
owner withdrawal against equity reference 30188,430850.45,0,Bank,9,equity,credit
sales revenue from customer invoice reference 16757,210663.52,0,Bank,11,revenue,credit
capital introduced by shareholder reference 53441,389369.6,0,PDF,6,equity,credit
equipment acquisition reference 95231,208568.68,0,PDF,5,asset,credit
owner investment into business reference 36227,60857.83,1,Manual,1,equity,debit
gst payable recorded reference 97842,422345.15,1,PDF,8,liability,credit
office supplies purchase reference 72183,359129.61,0,CSV,4,expense,debit
office furniture purchase reference 75822,400032.09,1,Manual,12,asset,debit
product sales receipt reference 54196,8904.56,0,Manual,12,revenue,credit
product sales receipt reference 45265,100491.62,0,Excel,3,revenue,credit
equipment acquisition reference 79956,400931.78,0,PDF,3,asset,debit
supplier payable created reference 73441,571.23,0,Excel,3,liability,credit
vehicle purchase for business reference 51474,77819.58,0,CSV,8,asset,debit
prepaid insurance reference 81306,304224.6,0,CSV,7,asset,debit
client payment for consulting services reference 93648,182241.47,1,CSV,3,revenue,debit
monthly office rent reference 80075,52927.45,0,Bank,11,expense,debit
business loan received reference 98703,382687.53,0,CSV,12,liability,credit
owner withdrawal against equity reference 34000,357553.68,0,Excel,2,equity,credit
supplier payable created reference 13684,305968.14,0,Bank,5,liability,credit
office electricity bill reference 55901,139787.68,0,Bank,4,expense,debit
sales revenue from customer invoice reference 37173,459261.73,0,Excel,2,revenue,debit
equipment acquisition reference 65665,248117.68,0,CSV,1,asset,debit
client payment for consulting services reference 41905,259044.74,1,Excel,8,revenue,credit
sales collection reference 37480,266208.25,1,CSV,2,revenue,credit
tax payable recorded reference 96794,414120.96,0,Bank,1,liability,credit
office electricity bill reference 24560,289674.39,0,Bank,9,expense,debit
internet and telecom bill reference 66297,281926.6,0,PDF,8,expense,debit
purchase of office laptop reference 40794,8540.01,0,CSV,2,asset,debit
supplier payable created reference 23500,134944.68,0,Manual,8,liability,credit
customer invoice settlement reference 61516,72992.56,0,Excel,4,revenue,credit
shareholder contribution reference 32706,376912.26,0,PDF,5,equity,credit
loan repayment liability reference 54320,225336.08,1,PDF,2,liability,debit
inventory purchase for stock reference 30653,421480.78,1,Bank,10,asset,debit
short term borrowing reference 69630,287053.24,0,Excel,1,liability,credit
marketing campaign expense reference 80442,360512.22,0,PDF,4,expense,debit
owner capital introduced reference 35661,227204.75,0,Excel,2,equity,credit
office furniture purchase reference 82072,296137.52,0,Excel,6,asset,debit
office electricity bill reference 75983,193028.38,0,Excel,1,expense,debit
prepaid insurance reference 87732,278951.48,1,PDF,4,asset,debit
accounts payable recorded reference 53788,429789.79,0,Manual,10,liability,credit
owner capital introduced reference 32429,90739.4,1,PDF,2,equity,credit
internet and telecom bill reference 78743,204995.66,0,Manual,9,expense,debit
product sales receipt reference 95705,306564.71,0,Bank,11,revenue,credit
equipment acquisition reference 32540,480789.73,0,Bank,12,asset,debit
retained earnings transfer reference 85235,51420.25,0,Bank,10,equity,credit
purchase of machinery reference 84701,467022.96,0,PDF,11,asset,debit
courier and postage expense reference 34931,161950.4,0,Bank,3,expense,debit
customer invoice settlement reference 21964,294599.12,0,PDF,4,revenue,credit
purchase of office laptop reference 99008,414474.8,0,Bank,12,asset,debit
owner capital introduced reference 84409,205883.29,0,CSV,1,equity,credit
retained earnings transfer reference 85681,234919.55,0,PDF,3,equity,credit
owner withdrawal against equity reference 10873,496344.13,0,CSV,6,equity,credit
consulting income received reference 95845,72918.78,0,PDF,3,revenue,credit
vehicle purchase for business reference 79215,150204.8,0,Bank,11,asset,debit
salary payable recorded reference 16490,229137.84,0,CSV,3,liability,debit
service revenue received reference 83270,255388.49,0,Manual,2,revenue,credit
loan repayment liability reference 45091,361957.4,0,CSV,1,liability,credit
purchase of office laptop reference 97175,435896.04,0,PDF,12,asset,debit
salary payable recorded reference 13192,427987.4,0,PDF,2,liability,credit
sales revenue from customer invoice reference 86600,78028.89,0,Bank,3,revenue,credit
share capital contribution reference 66961,157697.96,1,Bank,7,equity,credit
additional equity contribution reference 10181,456155.98,0,PDF,2,equity,credit
owner investment into business reference 61719,497937.18,0,Excel,6,equity,credit
tax payable recorded reference 81872,80990.73,0,Excel,3,liability,credit
insurance expense reference 68169,324529.01,0,CSV,10,expense,debit
maintenance and repair expense reference 62955,4964.64,0,Bank,9,expense,debit
employee salary payment reference 90483,224280.21,0,PDF,12,expense,debit
vehicle purchase for business reference 30754,225480.48,0,Manual,10,asset,debit
purchase of office laptop reference 39668,357278.71,0,PDF,10,asset,credit
business loan received reference 86178,175375.9,0,PDF,2,liability,debit
owner withdrawal against equity reference 56598,467821.99,0,Manual,2,equity,credit
internet and telecom bill reference 51711,180956.56,0,Bank,9,expense,debit
salary payable recorded reference 58799,186728.16,0,Excel,12,liability,credit
tax payable recorded reference 47340,424589.11,0,Manual,6,liability,credit
accounts payable recorded reference 12488,301412.67,1,Manual,8,liability,credit
short term borrowing reference 83581,376094.72,0,CSV,6,liability,credit
client payment for consulting services reference 25959,407078.49,0,Manual,6,revenue,credit
tax payable recorded reference 28929,59325.09,1,Manual,12,liability,debit
vendor credit purchase reference 28779,374876.13,0,Excel,1,liability,credit
sales revenue from customer invoice reference 69415,99099.51,1,Excel,3,revenue,debit
business loan received reference 79360,20832.76,0,PDF,2,liability,credit
monthly office rent reference 63544,63431.32,1,Bank,12,expense,debit
sales collection reference 99020,278206.73,0,Manual,12,revenue,credit
security deposit paid reference 11801,343913.98,0,Manual,2,asset,debit
shareholder contribution reference 94169,478303.35,0,CSV,11,equity,credit
vendor credit purchase reference 85440,457649.94,0,CSV,6,liability,credit
sales revenue from customer invoice reference 10526,287443.87,0,Manual,3,revenue,debit
equipment acquisition reference 89160,417117.05,1,Manual,8,asset,debit
capital introduced by shareholder reference 81965,361866.94,1,Bank,3,equity,credit
owner capital introduced reference 53685,118987.36,1,PDF,5,equity,credit
owner investment into business reference 51147,236472.68,0,PDF,1,equity,credit
gst payable recorded reference 50148,379988.75,1,CSV,1,liability,credit
product sales receipt reference 66919,80166.79,0,Manual,4,revenue,credit
tax payable recorded reference 72738,355987.71,0,CSV,6,liability,debit
security deposit paid reference 77307,279728.12,1,Excel,1,asset,debit
tax payable recorded reference 27803,196524.81,0,Manual,1,liability,credit
supplier payable created reference 53361,312270.41,0,Bank,7,liability,credit
purchase of computer equipment reference 71197,433154.62,1,CSV,4,asset,debit
supplier payable created reference 46050,231632.87,0,PDF,4,liability,credit
purchase of computer equipment reference 41185,270166.41,0,PDF,12,asset,debit
purchase of office laptop reference 85478,255064.01,0,Manual,7,asset,debit
owner capital introduced reference 29854,30099.76,0,CSV,2,equity,credit
gst payable recorded reference 49788,259250.19,1,CSV,7,liability,credit
accounts payable recorded reference 10645,345337.04,0,Excel,7,liability,credit
accounts receivable created reference 28197,185171.44,0,PDF,8,asset,debit
business loan received reference 17580,393731.85,0,Manual,8,liability,credit
tax payable recorded reference 54935,155244.31,0,Excel,11,liability,credit
office furniture purchase reference 21812,208413.93,0,PDF,9,asset,debit
subscription revenue reference 45518,69626.02,0,PDF,11,revenue,credit
equipment acquisition reference 93617,486106.96,0,Manual,8,asset,debit
subscription revenue reference 83678,469817.71,1,Excel,6,revenue,credit
employee salary payment reference 92874,4736.19,1,Excel,6,expense,debit
owner withdrawal against equity reference 98836,153779.01,0,Bank,6,equity,credit
office furniture purchase reference 83229,59113.96,1,Excel,12,asset,debit
software subscription expense reference 72480,89237.0,0,PDF,12,expense,debit
loan repayment liability reference 10545,487609.07,1,CSV,1,liability,credit
gst payable recorded reference 43009,146735.01,0,Excel,12,liability,credit
inventory purchase for stock reference 34145,246528.22,0,Excel,6,asset,debit
inventory purchase for stock reference 30059,465509.36,0,Excel,7,asset,debit
share capital contribution reference 11503,256083.42,0,PDF,11,equity,credit
vehicle purchase for business reference 15968,357546.21,0,PDF,6,asset,debit
supplier payable created reference 79024,121968.24,0,Bank,7,liability,credit
share capital contribution reference 46566,349335.84,0,Bank,4,equity,credit
sales revenue from customer invoice reference 63202,182734.51,0,Manual,4,revenue,credit
security deposit paid reference 74206,362261.54,1,Excel,4,asset,debit
shareholder contribution reference 52329,317339.95,1,PDF,9,equity,credit
tax payable recorded reference 35053,159170.3,1,CSV,1,liability,credit
vendor credit purchase reference 68824,106857.91,1,Bank,12,liability,credit
vendor credit purchase reference 54670,56032.85,0,CSV,11,liability,credit
courier and postage expense reference 46322,272429.05,0,CSV,11,expense,debit
customer invoice settlement reference 30122,227719.75,0,Bank,3,revenue,credit
product sales receipt reference 87935,195395.42,0,Manual,1,revenue,credit
retained earnings transfer reference 62178,9166.87,0,Manual,7,equity,credit
security deposit paid reference 70521,331034.98,0,Manual,6,asset,debit
equipment acquisition reference 79808,396826.24,0,Manual,11,asset,debit
professional fees reference 86358,481325.38,0,PDF,3,expense,debit
share capital contribution reference 69452,3200.36,0,PDF,5,equity,credit
marketing campaign expense reference 38716,160226.67,0,Bank,3,expense,debit
insurance expense reference 98440,71486.68,0,Manual,7,expense,debit
office furniture purchase reference 62645,335081.74,1,Bank,6,asset,debit
prepaid insurance reference 23771,89901.96,0,CSV,8,asset,debit
short term borrowing reference 20630,334710.97,0,PDF,1,liability,credit
purchase of office laptop reference 40064,494411.23,0,Manual,10,asset,debit
salary payable recorded reference 28424,471835.7,0,Excel,1,liability,credit
supplier payable created reference 72321,294342.69,0,Manual,3,liability,credit
owner capital introduced reference 55861,440252.47,0,CSV,5,equity,credit
purchase of machinery reference 59324,155623.29,0,Excel,3,asset,debit
employee salary payment reference 37182,6002.83,0,PDF,2,expense,debit
professional fees reference 88021,246101.74,0,Manual,9,expense,credit
short term borrowing reference 47030,42833.66,1,CSV,4,liability,credit
software subscription expense reference 29114,23345.46,0,PDF,10,expense,debit
product sales receipt reference 60089,29249.24,0,Excel,6,revenue,credit
insurance expense reference 36461,27228.86,0,PDF,10,expense,debit
owner investment into business reference 40186,116924.43,1,Manual,10,equity,credit
loan repayment liability reference 47726,221163.93,0,Bank,9,liability,credit
courier and postage expense reference 76245,477990.24,1,PDF,3,expense,debit
consulting income received reference 28207,27859.67,1,PDF,6,revenue,credit
sales collection reference 21133,324285.56,0,Bank,12,revenue,debit
salary payable recorded reference 49319,436570.83,1,PDF,3,liability,credit
vendor credit purchase reference 47211,414785.04,0,CSV,8,liability,credit
business travel expense reference 72414,358355.34,0,Manual,8,expense,debit
employee salary payment reference 77930,179207.12,1,Manual,7,expense,credit
client payment for consulting services reference 85452,37777.5,0,Excel,1,revenue,credit
accounts payable recorded reference 53140,393442.97,1,Excel,1,liability,credit
capital introduced by shareholder reference 94265,19753.9,0,Excel,3,equity,credit
marketing campaign expense reference 71246,496330.87,0,PDF,8,expense,debit
accounts receivable created reference 15388,59521.67,0,CSV,1,asset,credit
software subscription expense reference 89844,300958.19,0,CSV,11,expense,debit
business loan received reference 77887,14039.68,0,Manual,7,liability,credit
retained earnings transfer reference 42314,80134.99,0,Manual,12,equity,credit
maintenance and repair expense reference 53754,220635.4,0,Excel,7,expense,debit
monthly office rent reference 34797,27523.09,0,Bank,10,expense,debit
prepaid insurance reference 39205,464256.45,0,Manual,11,asset,debit
prepaid insurance reference 40344,482736.19,0,PDF,5,asset,credit
prepaid insurance reference 11038,143172.67,1,Bank,1,asset,debit
internet and telecom bill reference 75193,369135.23,1,Excel,1,expense,debit
sales revenue from customer invoice reference 58193,455431.93,1,PDF,2,revenue,credit
sales collection reference 29312,204560.06,0,Bank,3,revenue,credit
maintenance and repair expense reference 31680,202023.01,0,Bank,9,expense,debit
short term borrowing reference 78646,157294.42,0,CSV,4,liability,credit
shareholder contribution reference 76968,15405.82,1,PDF,9,equity,credit
additional equity contribution reference 12239,336782.9,0,Manual,1,equity,credit
vehicle purchase for business reference 11526,362725.63,0,CSV,3,asset,debit
sales collection reference 44631,244970.23,0,Bank,1,revenue,debit
inventory purchase for stock reference 60741,329057.71,1,Excel,5,asset,debit
business loan received reference 69441,444375.93,0,CSV,7,liability,credit
employee salary payment reference 93027,283416.64,0,CSV,12,expense,debit
subscription revenue reference 86588,424266.19,0,Excel,1,revenue,credit
salary payable recorded reference 39159,311079.28,0,PDF,2,liability,credit
purchase of computer equipment reference 54033,285178.94,0,CSV,8,asset,credit
marketing campaign expense reference 93380,411536.82,0,Manual,12,expense,debit
accounts payable recorded reference 56706,29158.27,0,CSV,6,liability,credit
shareholder contribution reference 99755,14288.88,0,Bank,11,equity,credit
capital introduced by shareholder reference 86849,293144.75,1,PDF,6,equity,credit
sales collection reference 71237,281552.67,1,CSV,9,revenue,credit
purchase of computer equipment reference 97305,383667.12,0,PDF,12,asset,debit
shareholder contribution reference 90961,43421.53,0,CSV,8,equity,credit
capital introduced by shareholder reference 23073,366419.05,0,PDF,7,equity,credit
inventory purchase for stock reference 86755,230942.46,1,Excel,2,asset,credit
service revenue received reference 95234,499988.52,0,Bank,2,revenue,credit
inventory purchase for stock reference 98532,458189.62,0,Bank,1,asset,debit
vendor credit purchase reference 13379,100467.39,0,Bank,10,liability,credit
additional equity contribution reference 28609,484423.83,1,Excel,6,equity,credit
retained earnings transfer reference 41196,428765.04,0,CSV,12,equity,credit
tax payable recorded reference 82558,273678.33,0,PDF,5,liability,credit
service revenue received reference 13048,341665.97,0,Excel,10,revenue,credit
retained earnings transfer reference 81679,41471.53,0,Bank,3,equity,credit
owner investment into business reference 10691,264714.82,0,CSV,9,equity,credit
business travel expense reference 57923,159992.9,0,Excel,2,expense,debit
vehicle purchase for business reference 87536,8952.54,0,PDF,4,asset,debit
